word,part_of_speech,definition,example
abstruse,adjective,,"Her abstruse explanation of the scientific theory only confused the audience further."
abstruse,adjective,,"The abstruse mathematical problem took hours of concentrated effort to solve."
abstruse,adjective,,"The novel's abstruse symbolism left many readers puzzled."
acumen,noun,,"Her acumen in literature made her an excellent book reviewer."
acumen,noun,,"She has a rare combination of political acumen and leadership skills."
acumen,noun,,"She has considerable business acumen."
accentual,noun,,"The poem was written in an accentual verse form."
accentual,noun,,"The accentual patterns in Old English poetry were different from modern English."
ascetic,adjective,,"He adopted an ascetic lifestyle, living in a small, bare room."
ascetic,adjective,,"The ascetic diet consisted mainly of vegetables and grains."
ascetic,adjective,,"The ascetic monk wore simple robes and owned only a few possessions."
ascetic,adjective,,"The monk embraced a life of asceticism, renouncing all worldly possessions."
avarice,noun,,"His avarice led him to hoard all his wealth and refuse to help others in need."
avarice,noun,,"The avarice of the politician was evident in his scandalous misuse of public funds."
avarice,noun,,"The protagonist's downfall in the story was driven by his avarice for power."
avuncular,adjective,,"Despite their age difference, they had an avuncular bond."
avuncular,adjective,,"He gave an avuncular pat on the back to his younger brother."
avuncular,adjective,,"The teacher took on an avuncular role, guiding and advising the students."
banal,adjective,,"He was tired of the banality of his everyday life."
banal,adjective,,"The art exhibit consisted of banal paintings that lacked creativity."
banal,adjective,,"The article was criticized for its banality and lack of substance."
banal,adjective,,"The movie was so banal that I fell asleep halfway through."
brusque,adjective,,"Despite her brusque demeanor, she was an excellent doctor."
brusque,adjective,,"He gave a brusque response to her question."
brusque,adjective,,"His brusque tone offended his coworkers."
candor,noun,,"Her candor sometimes got her into trouble."
candor,noun,,"His candor in admitting his faults won him the respect of his colleagues."
candor,noun,,"She gave a candid response to his question."
candor,noun,,"She spoke with refreshing candor about her past mistakes."
capitulate,verb,,"After days of negotiations, the opposing side finally had to capitulate."
capitulate,verb,,"The company's continuous losses forced them into capitulation, leading to its closure."
capitulate,verb,,"The rebel army refused to capitulate despite being vastly outnumbered."
chutzpah,noun,,"He had the chutzpah to demand a refund after using the product for a year."
chutzpah,noun,,"He showed incredible chutzpah by standing up to the powerful corporation."
chutzpah,noun,,"She had the chutzpah to ask for a raise on her first day of work."
compunction,noun,,"Despite his initial compunction, he finally decided to accept the job offer."
compunction,noun,,"She felt a sense of compunction after realizing the consequences of her actions."
compunction,noun,,"She felt no compunction about lying to her parents."
ebullient,adjective,,"She had an ebullient personality that brightened the room."
ebullient,adjective,,"The children were ebullient with excitement on Christmas morning."
eloquent,adjective,,"She delivered an eloquent speech at the conference."
eloquent,adjective,,"The actor's eloquent performance received rave reviews."
eloquent,adjective,,"The book is filled with eloquent descriptions of the landscape."
eloquent,adjective,,"The lawyer's eloquent arguments convinced the jury."
engender,verb,,"Her compassionate words and actions engendered a sense of trust among the community."
engender,verb,,"The controversial policy will likely engender further debate among the public."
engender,verb,,"The lack of communication can engender misunderstandings and conflicts."
erudite,adjective,,"He had an erudite command of multiple languages."
erudite,adjective,,"She was known for her erudite lectures on ancient history."
erudite,adjective,,"The professor had an erudite understanding of philosophy."
fastidious,adjective,,"He fastidiously checked each document for errors before submitting them."
fastidious,adjective,,"He is a fastidious eater and will only eat certain foods."
fastidious,adjective,,"She has always been fastidious about her appearance."
febrile,adjective,,"In such febrile times, one rooster crowing was likely to set off all the others in the village."
febrile,adjective,,"The febrile reaction to the vaccination was expected."
febrile,adjective,,"The previous chapter remains the source of much febrile debate. "
fecund,adjective,,"She studied the fecundities of different plant species."
fecund,adjective,,"The artist's fecund imagination always produced unique and captivating works of art."
fecund,adjective,,"The fecund soil in this region is perfect for growing crops."
fecund,adjective,,"The fecundity of rabbits is well-known, as they can reproduce rapidly."
furtive,adjective,,"He cast a furtive glance over his shoulder to see if anyone was watching."
furtive,adjective,,"He furtively glanced around the room before opening the letter."
furtive,adjective,,"She made a furtive attempt to steal a cookie from the jar."
hedonistic,adjective,,"His hedonistic tendencies often got him into trouble."
hedonistic,adjective,,"She lived a hedonistic lifestyle, always indulging in the finest things."
hedonistic,adjective,,"The hedonistic culture of the city led to extravagant parties and excessive spending."
iconoclast,noun,,"As an iconoclast, he was always questioning authority and advocating for change."
iconoclast,noun,,"He was known for his iconoclastic views on religion."
iconoclast,noun,,"She expressed her ideas iconoclastically, challenging conventional wisdom."
iconoclast,noun,,"She was known for being an iconoclast, challenging traditional beliefs and values."
ineffable,adjective,,"She felt an ineffable joy as she held her newborn baby for the first time."
ineffable,adjective,,"The breathtaking view from the mountaintop was absolutely ineffable."
ineffable,adjective,,"The guitarist played an ineffably haunting melody."
insatiable,adjective,,"He has an insatiable appetite and can eat enormous amounts of food."
insatiable,adjective,,"His insatiable desire for success drives him to work harder than anyone else."
insatiable,adjective,,"She has an insatiable curiosity and is always asking questions."
laconic,adjective,,"He delivered his speech laconically, providing only the necessary information."
laconic,adjective,,"He was known for his laconic speech, always getting straight to the point."
laconic,adjective,,"His laconical response left nothing more to be said."
laconic,adjective,,"The detective's laconic instructions revealed very little about the case."
loquacious,adjective,,"She spoke loquaciously about her trip to Europe."
loquacious,adjective,,"The loquacious salesman easily convinced the customers to buy his product."
loquacious,adjective,,"The professor's loquaciousness during lectures often led to longer class durations."
macabre,adjective,,"She found macabre pleasure in reading true crime novels."
macabre,adjective,,"The artist created a macabre painting depicting death and decay."
macabre,adjective,,"The horror movie had a macabre ending."
mawkish,adjective,,"Her mawkish speech made everyone in the audience tear up."
mawkish,adjective,,"I couldn't stand the mawkish love song they played at the wedding."
mawkish,adjective,,"The movie was so mawkish that it made me cringe."
mellifluous,adjective,,"Listening to the mellifluous sound of birdsong is incredibly relaxing."
mellifluous,adjective,,"The audiobook narrator had a mellifluous tone that enhanced the story."
mellifluous,adjective,,"The violinist played a mellifluous melody that brought tears to my eyes."
normalisation of deviance,noun,,"The normalisation of deviance around safety measures within the airline ultimately lead to the crash."
normalisation of deviance,verb,"A sociological phenomenon where unacceptable behaviors or practices become accepted as normal within a group or organization, often leading to increased risks and potential disasters."
obsequious,adjective,,"The obsequious student always volunteered to do extra tasks for the teacher."
obsequious,adjective,,"The obsequious waiter was constantly hovering around the table."
obsequious,adjective,,"The politician was known for his obsequious behavior towards the party leaders."
ostensibly,adverb,,"He has spent the past three months in Florida, ostensibly for medical treatment."
ostensibly,adverb,,"The company's new policy was ostensibly aimed at increasing productivity."
ostensibly,adverb,,"The government's decision was ostensibly made to protect the citizens."
