word,phonetic
aardvark,"/ˈɑːd.vɑːk/"
aardwolf,"/ˈɑːdˌwʊlf/"
aback,"/əˈbæk/"
abacus,"/-saɪ/"
abaft,"/əˈbæft/"
abandon,"/əˈbæn.dən/"
abandoned,"/əˈbæn.dn̩d/"
abandonment,"/əˈbæn.dn̩.mn̩t/"
abased,"/əˈbeɪst/"
abasement,"/əˈbeɪs.mənt/"
abash,"/əˈbæʃ/"
abashed,"/əˈbæʃt/"
abate,"/əˈbeɪt/"
abatement,"/əˈbeɪt.mənt/"
abates,"/əˈbeɪts/"
abbe,"/æ.ˈbeɪ/"
abbess,"/ˈæb.ɛs/"
abbey,"/ˈæb.i/"
abbeys,"/ˈæb.iz/"
abbot,"/ˈæb.ət/"
abbots,"/ˈæb.əts/"
abbreviate,"/ə.ˈbɹiː.vi.eɪt/"
abbreviate,"/əˈbɹi.vi.eɪt/"
abbreviated,"/əˈbɹiːvieɪtɪd/"
abbreviation,"/əˌbɹiː.viˈeɪ.ʃən/"
abdicate,"/ˈæb.dɪˌkeɪt/"
abdicated,"/ˈæb.dɪ.keɪ.tɪd/"
abdication,"/ˌæb.dəˈkeɪ.ʃən/"
abdomen,"/æbˈdəʊ.mən/"
abdominal,"/æbˈdɒm.ə.nl̩/"
abduct,"/æbˈdəkt/"
abducted,"/æbˈdʌktɪd/"
abduction,"/əbˈdʌk.ʃn̩/"
abductor,"/æbˈdʌk.tə/"
abeam,"/ə.ˈbiːm/"
abele,"/ə.ˈbeɪl/"
aberrant,"/əˈbɛɹ.n̩t/"
aberration,"/ˌæb.əˈɹeɪ.ʃn̩/"
abet,"/əˈbɛt/"
abets,"/əˈbɛts/"
abetted,"/əˈbɛtɪd/"
abetting,"/əˈbɛtɪŋ/"
abeyance,"/əˈbeɪ.əns/"
abhorred,"/æbˈhɔɹd/"
abhorrence,"/əbˈhɒɹ.n̩s/"
abhorrent,"/æbˈ(h)ɒɹ.ənt/"
abide,"/əˈbaɪd/"
abided,"/əˈbaɪd.əd/"
abides,"/əˈbaɪds/"
abiding,"/əˈbaɪ.dɪŋ/"
ability,"/əˈ.bɪl.ɪ.ti/"
abject,"/ˈæb.d͡ʒɛkt/"
abjure,"/æbˈdʒʊɹ/"
abjured,"/əbˈdʒʊəd/"
ablate,"/əˈbleɪt/"
ablation,"/æbˈleɪ.ʃn̩/"
ablaze,"/əˈbleɪz/"
able,"/ˈeɪ.bl̩/"
abler,"/eɪ.blɚ/"
ablest,"/eɪ.bləst/"
abloom,"/əˈbluːm/"
ablution,"/əˈbluː.ʃn̩/"
ably,"/ˈeɪ.bli/"
abnegation,"/ˌæbnəˈɡeɪʃən/"
abnormal,"/əbˈnɔɹ.ml̩/"
abnormality,"/ˌæbˌnɔɹˈmæl.ət.i/"
abnormally,"/æbˈnɔɹ.mə.li/"
aboard,"/əˈbɔːd/"
abode,"/əˈbəʊd/"
abolish,"/əˈbɒlɪʃ/"
abolished,"/əˈbɒlɪʃt/"
abolitionist,"/ˌæ.bə.ˈlɪʃ.n̩.ɪst/"
abolitionists,"/ˈæ.bə.lɪʃn̩.ɪsts/"
abominable,"/ɘˈbɔm.ɘ.nɘ.bɯ/"
abominably,"/əˈbɑm.nə.bli/"
abominate,"/əˈbɒm.əˌnəɪt/"
abomination,"/əˌbɑm.əˈneɪ.ʃn̩/"
abort,"/əˈbɔːt/"
abortion,"/əˈbɔɹ.ʃn̩/"
abortionist,"/əˈbɔɹ.ʃə.nɪst/"
abortive,"/əˈbɔː.tɪv/"
abound,"/əˈbaʊnd/"
about,"/əˈbɛʊt/"
above,"/əˈbʌv/"
abrasion,"/əˈbɹeɪ.ʒn̩/"
abrasive,"/əˈbɹeɪ.sɪv/"
abreast,"/əˈbɹɛst/"
abridge,"/əˈbɹɪd͡ʒ/"
abridged,"/əˈbɹɪdʒd/"
abridgement,"/əˈbɹɪd͡ʒ.mənt/"
abridging,"/əˈbɹɪdʒɪŋ/"
abroad,"/əˈbɹɔːd/"
abrogation,"/ˌæb.ɹəˈɡeɪ.ʃn̩/"
abrupt,"/aˈbɹʌpt/"
abruptly,"/ə.ˈbɹʌpt.li/"
abscissa,"/æbˈsɪs.ə/"
abscissae,"/æbˈsɪsˌiː/"
abscond,"/əbˈskɒnd/"
abseil,"/ˈæb.saɪl/"
absence,"/ˈæb.s(ə)n̩s/"
absent,"/ˈæb.sn̩t/"
